nom,declaration_count
DOBBELS,2
DODET,2
DOMINICI,2
DOZANCE,2
DROINEAU,2
DROMIGNY,2
DORTE,2
TELLE,2
TAURINYA,2
TAVEL,2
TCHOBDRENOVITCH,2
DOVERGNE,2
Staniec-Wavrant,2
Stanislas,2
Stern,2
Stoeckle,2
DURIMEL,2
DURIX,2
DUTIN,2
TABOURET,2
TACHE DE LA PAGERIE,2
Szczepaniak,2
Szpiner,2
Stambach-Terrenoir,2
DUBESSY,2
TAISNE,2
TAPATI,2
Sémavoine,2
DUFRAISSE,2
DUCOUT,2
DUCRET,2
DUFAU,2
DU BUIT,2
Soujol,2
Simonet,2
Simonnet,2
Smith,2
Solans,2
Serret,2
Souverain,2
Souyris,2
Spahn,2
Sorre,2
Sother,2
Soto,2
Soudais,2
Souid,2
DUPLOMB,2
DUPORGE,2
DUMONTIER,2
DUNAND,2
Soulignac,2
Soultani-Vigneron,2
DUQUESNE,2
DUQUESNOY,2
DURANDE,2
DURANTON,2
DUPLESSY,2
Denormandie,2
Descoeur,2
Dellac,2
Deloge,2
Delord,2
Delpeuch,2
Delpeyrat-Vincent,2
Delrieux,2
Damy,2
Demazure,2
Denis,2
Daubet,2
Daubié,2
Dauré,2
Davi,2
Dantec,2
Darkaoui Allaoui,2
Sido,2
Simian,2
De Beule,2
Dechy,2
Sauvier,2
Samat,2
Sanchez,2
Sanguinetti,2
Sansu,2
Dossang,2
Septiers,2
Savelli,2
Savry,2
Schellenberger,2
Schieven,2
Sas,2
Saulignac,2
Delage,2
Sciamanna,2
Selleron,2
Seo,2
