uuid,nomSociete,evaluation,capitalDetenu,nombreParts,commentaire,remuneration,clean_name
4d9f4f3e-6d0a-458c-8f72-6435214fe00b,bouygues,1736,,50.0,,0,BOUYGUES
4d9f4f3e-6d0a-458c-8f72-6435214fe00b,engie,3407,,275.0,,131€ dividende annuel,ENGIE
4d9f4f3e-6d0a-458c-8f72-6435214fe00b,orange,1630,,160.0,,112€ dividende annuel,ORANGE
0c75e83d-212e-458c-b29c-3c2e81f568f2,Air liquide,27000,,200.0,,300€,AIR LIQUIDE
2ae0247d-ec81-4f34-9ffd-38401271dc0b,DANONE,24390,,813.0,Actions en indivision à 50% valeur totale des 813 actions : 48780 Euros,Pas de rémunération ou gratification perçue,DANONE
1e9583f0-ef71-490a-9b17-f5cb9c717ead,Air Liquide,2982,,20.0,,55,AIR LIQUIDE
1e9583f0-ef71-490a-9b17-f5cb9c717ead,Axa,1003,,46.0,,18,AXA
1e9583f0-ef71-490a-9b17-f5cb9c717ead,Bouygues,1362,,42.0,,0,BOUYGUES
1e9583f0-ef71-490a-9b17-f5cb9c717ead,Danone,915,,16.0,,31,DANONE
1e9583f0-ef71-490a-9b17-f5cb9c717ead,LVMH,2678,,4.0,,16,LVMH
1e9583f0-ef71-490a-9b17-f5cb9c717ead,Michelin,1084,,8.0,,18,MICHELIN
1e9583f0-ef71-490a-9b17-f5cb9c717ead,Pernod Ricard,1479,,8.0,,11,PERNOD RICARD
1e9583f0-ef71-490a-9b17-f5cb9c717ead,Sanofi,958,,11.0,,35,SANOFI
bafafe3b-1f73-49be-917e-50d960d2464a,AIR LIQUIDE,6588,,49.0,DETENUES DANS LE CADRE D'UN PEA Les dividendes ne sont pas prélevés et restent sur le compte PEA,0,AIR LIQUIDE
bafafe3b-1f73-49be-917e-50d960d2464a,HERMES INTERNATIONAL,116980,,160.0,Parts détenues dans le cadre d'un PEA Les dividendes ne sont pas prélevés et restent sur le compte PEA,0,HERMES INTERNATIONAL
bafafe3b-1f73-49be-917e-50d960d2464a,PERNOD RICARD,9926,0,75.0,"Parts d""tenues dans le cadre d'un PEA Les dividendes ne sont pas prélevés et restent sur le compte PEA",0,PERNOD RICARD
00b1c41b-824f-49f9-a0be-b1956cc80ca4,Capgemini,2310,0,18.0,Issus de plan d'attribution gratuite,"35,10",CAPGEMINI
8b696621-dfa4-43f8-8afd-02d07650618c,Carrefour,420,,25.0,,08/06/2022 : 13 euros,CARREFOUR
5d4ea581-39ec-47fe-bd22-838ad8df1fa5,Crédit agricole SA,3459,,320.0,PEA du Crédit agricole,220,CREDIT AGRICOLE
74dcff85-7542-4132-8919-7d8613d900d8,AIR LIQUIDE,10567,,60.0,,173,AIR LIQUIDE
74dcff85-7542-4132-8919-7d8613d900d8,BNP PARIBAS,11892,,190.0,,723,BNP PARIBAS
74dcff85-7542-4132-8919-7d8613d900d8,DASSAULT SYSTEMES SE,12165,,275.0,,56,DASSAULT SYSTEMES
74dcff85-7542-4132-8919-7d8613d900d8,ESSILORLUXOTTICA SA,8172,,45.0,,110,ESSILORLUXOTTICA
74dcff85-7542-4132-8919-7d8613d900d8,HERMES INTERNATIONAL SA,7675,,4.0,,51,HERMES INTERNATIONAL
74dcff85-7542-4132-8919-7d8613d900d8,LVMH,11004,,15.0,,128,LVMH
74dcff85-7542-4132-8919-7d8613d900d8,PERNOD RICARD,8786,,55.0,,232,PERNOD RICARD
74dcff85-7542-4132-8919-7d8613d900d8,SANOFI,11669,,130.0,,451,SANOFI
74dcff85-7542-4132-8919-7d8613d900d8,TOTALENERGIES SE,10780,,175.0,,455,TOTALENERGIES
60d8c311-f3c6-4dee-9541-aa3d7e43a4c1,CREDIT AGRICOLE,22,,2.0,,1.6,CREDIT AGRICOLE
60d8c311-f3c6-4dee-9541-aa3d7e43a4c1,AXA,42,,2.0,,3,AXA
60d8c311-f3c6-4dee-9541-aa3d7e43a4c1,ORANGE,9,,1.0,,1.4,ORANGE
01771bd8-9f1a-4e3b-9897-617cd0dea0c9,Crédit Agricole SA,42,0,70.0,,dividendes annuelles,CREDIT AGRICOLE
17767406-5ec1-4f7f-8434-a1170d3c4478,SOCIETE GENERALE,2665,,100.0,,0,SOCIETE GENERALE
0a2a8bbf-1992-4f75-8855-01f0e1050e59,Alstom,82,,2.0,,0,ALSTOM
0a2a8bbf-1992-4f75-8855-01f0e1050e59,Axa,765,,40.0,,"76 en 2019, 28 en 2020",AXA
99e76e31-6136-49f2-a8b7-b0b9509a776b,LVMH,2014,,3.0,Il s'agit de titres de placement et non d'une participation.,12 € de dividendes,LVMH
99e76e31-6136-49f2-a8b7-b0b9509a776b,AXA,1315,,38.0,Il s'agit de titres de placement et non d'une participation.,75 € de dividendes,AXA
99e76e31-6136-49f2-a8b7-b0b9509a776b,BNP PARIBAS,7743,,126.0,Il s'agit de titres de placement et non d'une participation.,405 € de dividendes,BNP PARIBAS
99e76e31-6136-49f2-a8b7-b0b9509a776b,TOTALENERGIES,14610,,241.0,Il s'agit de titres de placement et non d'une participation.,761 € de dividendes,TOTALENERGIES
86e5c7f1-886b-495d-a42d-16cd0a3ceeac,engie,1114,,80.0,,114,ENGIE
86e5c7f1-886b-495d-a42d-16cd0a3ceeac,arcelormittal,1054,,49.0,,11,ARCELORMITTAL
86e5c7f1-886b-495d-a42d-16cd0a3ceeac,air liquide,824,,5.0,,16,AIR LIQUIDE
86e5c7f1-886b-495d-a42d-16cd0a3ceeac,dassault systèmes,512,,15.0,,3,DASSAULT SYSTEMES
86e5c7f1-886b-495d-a42d-16cd0a3ceeac,thalès,768,,5.0,,13,THALES
9052580e-e4cc-4804-969c-78528837c93e,ACCOR,800,,25.0,,0,ACCOR
9052580e-e4cc-4804-969c-78528837c93e,BOUYGUES,625,,20.0,,0,BOUYGUES
9052580e-e4cc-4804-969c-78528837c93e,DANONE,1500,,25.0,,0,DANONE
9052580e-e4cc-4804-969c-78528837c93e,ENGIE,275,,25.0,,0,ENGIE
