uuid,nomSociete,evaluation,capitalDetenu,nombreParts,commentaire,remuneration,clean_name,GICS Sector,GICS Sub-Industry
6ee63a7c-92c6-4c13-b805-ec70fbaa1bda,CARETA LIMITED,450000,100,100.0,,NEANT,CARETA LIMITED,,
36abd52d-d71f-4de7-bb69-71d49b44b1f6,amundi,3138,,24.0,,"aucune rémunération début de contrat 
        [Données non publiées]
    ",AMUNDI,,
36abd52d-d71f-4de7-bb69-71d49b44b1f6,BFT,445,,6.0,,"début de contrat 
        [Données non publiées]
    ",BFT,,
36abd52d-d71f-4de7-bb69-71d49b44b1f6,CPR,645,,2.0,,"aucune rémunération Début de contrat 
        [Données non publiées]
    ",CPR,,
36abd52d-d71f-4de7-bb69-71d49b44b1f6,indosuez,239,,3.0,,"aucune rémunération début de contrat 
        [Données non publiées]
    ",INDOSUEZ,,
ee78c05a-58f1-4e91-a2d3-6c9eac81ecc9,SELARL Audincardio,30681,,100.0,,0,SELARL AUDINCARDIO,,
4ebbe7af-a553-47a0-934c-e4cca0d02cb0,PEA,106000,,0.0,,0,PEA,,
0b35b1e3-cf6c-4448-9a18-ea831a916c55,open de moselle,240000,4,80.0,,0,OPEN DE MOSELLE,,
8d57450b-0423-49c9-b3d7-ebccc5098461,SAS Chaize Environnement,77,0,1.0,,Pas de rémunération,SAS CHAIZE ENVIRONNEMENT,,
8d57450b-0423-49c9-b3d7-ebccc5098461,SAS Chaize,6,0,16.0,,Suite à une réduction du capital en juin 2021 il a été enregistré la somme de 304€ au titre des gains dans mon compte courant,SAS CHAIZE,,
258d9351-bfd9-40ad-9f1d-0d9420b68770,SAS BBD PRO,27500,7,350.0,,0,SAS BBD PRO,,
e26c3db5-56c9-4d07-8b05-9fd90e8da8e4,SA HLM RURALE DE L'EURE,20,0,100.0,Aucune rémunération ni dividende n'est versée dans le cadre de la SA HLM Rurale de l'Eure,0,SA HLM RURALE DE L EURE,,
c0973870-4327-4ea7-b7ba-ddca738abf3d,PEA HSBC,146992,0,0.0,,2019 : 43 € 2018 : 79 € 2017 : 74 € 2016 : 68 € 2015 : 53 €,PEA HSBC,,
c0973870-4327-4ea7-b7ba-ddca738abf3d,COMPTE TITRES CIC,39108,0,0.0,,NEANT,COMPTE TITRES CIC,,
3dd4ae43-f38f-4ae5-a3ef-da48df9a6e87,SISA MSP BARILLET,100,,10.0,Le cabinet étant  situé en dehors de la MSP  je ne participe pas au frais de fonctionnement de la MSP,0,SISA MSP BARILLET,,
38ac113c-ad21-448d-8f09-a795da0fa0f0,Mini World Lyon,50000,,72.0,aucun,0,MINI WORLD LYON,,
c55e8aec-62f5-4bff-ae38-bfeebad61548,Editions du Croquant,180,,9.0,"
        [Données non publiées]
    ",0,EDITIONS DU CROQUANT,,
2b3c23ee-fc52-4f4b-a708-9f1cafc13f64,EURL RL Détection,1000,100,100.0,,82 000 euros,EURL RL DETECTION,,
2b3c23ee-fc52-4f4b-a708-9f1cafc13f64,RL Détection OI,1000,100,100.0,Structure inactive économiquement depuis sa création,0 euros,RL DETECTION OI,,
767d88f0-8b40-4e04-960b-a20729642b52,10 lignes de PEA,200000,0,12000.0,"
        [Données non publiées]
    ",Environ 9000€ de dividendes annuels,10 LIGNES DE PEA,,
889ca547-33f0-40b8-9e83-003a1816c6bb,Michelin,760,,20.0,La division par quatre du nominal des actions constitutives du capital de Michelin a été effectuée le 16 juin 2022. Les 5 titres détenus sont donc devenus 20 titres (=4x5).,Pas de rémunération autre que le dividende annuel de la société cotée  versé aux actionnaires pour l'exercice écoulé.,MICHELIN,,
889ca547-33f0-40b8-9e83-003a1816c6bb,Continental,2053,,34.0,,Pas de rémunération autre que le dividende annuel de la société cotée  versé aux actionnaires pour l'exercice écoulé. Titres détenus dans le cadre d'un PEA.,CONTINENTAL,,
c2bb1aac-ae12-4ac4-89a3-69a82e470714,FIP SUMINA CORSE,8000,,200.0,,0,FIP SUMINA CORSE,,
1f0c0b9c-3008-40a8-a33d-053cf1dd1c33,Sarl IROISE CONSULTING,7624,100,7624.0,,NEANT,SARL IROISE CONSULTING,,
64712dc6-8c6b-4c64-b6d7-fcb4a6c32901,OL Groupe,1150,0,500.0,"
        [Données non publiées]
    ",0,OL GROUPE,,
5bf62766-b885-4d8c-af32-f87bd844cacf,SAS HDKL,250,25,250.0,"
        [Données non publiées]
     En juin 2024 HDKL a pris une participation dans la société LOSANJE à hauteur de 1 82%.",Aucune,SAS HDKL,,
a52e26a6-d7e2-4cb9-bb64-d19beac29be0,CREDIT AGRICOLE,1227,0,1227.0,,1,CREDIT AGRICOLE,,
52b2fa03-51c6-428f-8179-d58deba48f3b,Arkema,180,,2.0,,"3,13 euros",ARKEMA,,
52b2fa03-51c6-428f-8179-d58deba48f3b,AXA,5955,,337.0,,"172,25",AXA,,
52b2fa03-51c6-428f-8179-d58deba48f3b,SANOFI,1306,,15.0,,"33,12",SANOFI,,
52b2fa03-51c6-428f-8179-d58deba48f3b,CHUBB,111505,,1063.0,Complément de rémunération émanant de mon employeur et placé par ses soins sur un compte aux USA,"824 au titre de 2019, réinvesti en actions",CHUBB,,
52b2fa03-51c6-428f-8179-d58deba48f3b,ASIE COTE D'OR,80000,12,700.0,,néant,ASIE COTE D OR,,
fe5802ec-1aaa-4cf6-a71d-7163b389f4e5,ET ACT France C 4D,47857,,2368.0,Valorisation au 31/12/2021,0,ET ACT FRANCE C 4D,,
fe5802ec-1aaa-4cf6-a71d-7163b389f4e5,ETOIL EUR AC 03 29,5022,,49.0,Valorisation au 31/12/2021,0,ETOIL EUR AC 03 29,,
d520186c-f9ca-4d37-91bb-9683f0a88544,SAS HJBA,17730,99,1773.0,"Aucune rémunération en tant que Président ni dividende en 2020. Société créée en 2019 
        [Données non publiées]
    ",0,SAS HJBA,,
